"Speaker","Bigram","n","log_odds"
"BOOKER","is the",10,0.0737834373374053
"BOOKER","make sure",10,0.196361415596372
"BOOKER","of all",10,0.232986681288988
"BOOKER","on this",10,0.175709437418158
"BOOKER","president of",10,0.281506881948808
"BOOKER","We need",10,0.220845949514239
"KAMALA HARRIS","able to",10,0.135837234771366
"KAMALA HARRIS","American families",10,1.66354694967997
"KAMALA HARRIS","I'm going",10,0.289266868870491
"KAMALA HARRIS","is a",10,0.000182871071349968
"KAMALA HARRIS","it is",10,0.114072398616934
"KAMALA HARRIS","It is",10,0.305005387961089
"KAMALA HARRIS","this issue",10,0.518907523528861
"KAMALA HARRIS","we are",10,0.14065548653166
"BOOKER","and we",9,0.108212805444593
"BOOKER","because we",9,0.35910318113593
"BOOKER","I want",9,0.00651959755618691
"BOOKER","if you",9,0.0962058751099955
"BOOKER","in my",9,0.275505019712284
"BOOKER","of this",9,0.142303646918917
"BOOKER","sure that",9,0.192863028493656
"BOOKER","that is",9,0.0848210707300723
"BOOKER","this problem",9,0.807069666411016
"BOOKER","to say",9,0.191357515702338
"KAMALA HARRIS","about this",9,0.425882972214487
"KAMALA HARRIS","attorney general",9,1.43922783365597
"KAMALA HARRIS","has been",9,0.168408572509279
"KAMALA HARRIS","have a",9,-0.0870629029309802
"KAMALA HARRIS","is about",9,0.616689592846798
"KAMALA HARRIS","is that",9,0.118397008199039
"KAMALA HARRIS","of all",9,0.188909198537619
"KAMALA HARRIS","of California",9,1.6100844824833
"KAMALA HARRIS","people who",9,0.147999338454817
"KAMALA HARRIS","to tell",9,0.459719629851751
"BOOKER","common purpose",8,2.82209057993671
"BOOKER","have been",8,0.0947342370955338
"BOOKER","I am",8,0.132222057796953
"BOOKER","Mr Vice",8,0.515262046238975
"BOOKER","not just",8,0.261200067619023
"BOOKER","our country",8,0.204354639020158
"BOOKER","people in",8,0.220096449902844
"BOOKER","they are",8,0.224390536467953
"BOOKER","to be",8,-0.177353492644248
"BOOKER","to do",8,-0.0975956626001947
"BOOKER","Vice President",8,0.24043964926649
"KAMALA HARRIS","access to",8,0.685635787232537
"KAMALA HARRIS","be a",8,0.129248918368053
"KAMALA HARRIS","California I",8,2.62284296011983
"KAMALA HARRIS","have the",8,0.111281971822692
"KAMALA HARRIS","my plan",8,0.579746079162278
"KAMALA HARRIS","States Department",8,3.19037927496392
"KAMALA HARRIS","that I",8,0.00450183469485084
"KAMALA HARRIS","that the",8,-0.0160057508762052
"KAMALA HARRIS","to get",8,-0.0360100348468448
"KAMALA HARRIS","to have",8,-0.0532801718354431
"KAMALA HARRIS","trade policy",8,1.23157566417372
"KAMALA HARRIS","want to",8,-0.153716422013876
"BOOKER","African American",7,0.522691913634666
"BOOKER","are not",7,0.22120147500172
"BOOKER","deal with",7,0.189841332393743
"BOOKER","do it",7,0.127684936392489
"BOOKER","first of",7,0.30951078857955
"BOOKER","I believe",7,0.0358283235947958
"BOOKER","in America",7,0.135801341194418
"BOOKER","It is",7,0.186015854034193
"BOOKER","kind of",7,0.088981648736947
"BOOKER","like mine",7,2.1600702529511
"BOOKER","lot of",7,0.0296997352309193
"BOOKER","my community",7,2.30961691347989
"BOOKER","that are",7,0.109012085132544
"BOOKER","the only",7,0.220034752271997
"BOOKER","the reasons",7,0.568713615964925
"BOOKER","the Senate",7,0.264751566069845
"BOOKER","to go",7,0.0424797586992494
"BOOKER","who we",7,0.806278868308995
"BOOKER","with the",7,-0.0269826721246237
"KAMALA HARRIS","about the",7,0.0685335181307825
"KAMALA HARRIS","be able",7,0.124366782376733
"KAMALA HARRIS","do that",7,0.13771234950859
"KAMALA HARRIS","general of",7,2.09377218262102
"KAMALA HARRIS","in this",7,-0.0519695453596494
"KAMALA HARRIS","Medicare for",7,0.752751456378591
"KAMALA HARRIS","our country",7,0.157206342419034
"KAMALA HARRIS","out of",7,0.0219510810507734
"KAMALA HARRIS","president of",7,0.155318100997141
"KAMALA HARRIS","States Senate",7,0.56015017665545
"KAMALA HARRIS","That is",7,0.255158661395334
"KAMALA HARRIS","that you",7,0.0419250231371323
"KAMALA HARRIS","the American",7,0.0145669841029579
"KAMALA HARRIS","the end",7,0.340309649916644
"KAMALA HARRIS","the first",7,0.101552855119888
"KAMALA HARRIS","to do",7,-0.13195531938657
"KAMALA HARRIS","We have",7,0.0178010897809482
"KAMALA HARRIS","who has",7,0.343964530506209
"KAMALA HARRIS","will not",7,0.280164500557415
"KAMALA HARRIS","you I",7,0.49451977007163
"BOOKER","a lot",6,-0.0270944549801551
"BOOKER","a president",6,0.21380566737173
"BOOKER","agree with",6,0.183484679680591
"BOOKER","and common",6,2.47582994405611
"BOOKER","And I",6,-0.0864652950200066
"BOOKER","And we",6,0.0866875708573197
"BOOKER","at the",6,-0.0265269450018008
"BOOKER","because of",6,0.166589591161746
"BOOKER","common cause",6,2.61289487430984
"BOOKER","corporate consolidation",6,2.76353186563084
"BOOKER","each other",6,0.443974859397225
"BOOKER","how we",6,0.308173373231501
"BOOKER","I was",6,-0.00472807934659925
"BOOKER","I'm going",6,0.133404920218118
"BOOKER","in communities",6,1.65497953431095
"BOOKER","it was",6,0.0631757994098297
"BOOKER","majority of",6,0.574397660932487
"BOOKER","more than",6,0.179951385008284
"BOOKER","New Jersey",6,0.596539960698128
"BOOKER","of people",6,0.142550293768534
"BOOKER","president that",6,0.62383552413558
"BOOKER","reasons why",6,0.887632130306087
"BOOKER","talking about",6,0.082554720516139
"BOOKER","that this",6,0.227098958553751
"BOOKER","the best",6,0.17597432405199
"BOOKER","the majority",6,0.743187884273263
"BOOKER","the way",6,0.0463031955961368
"BOOKER","to deal",6,0.244461449144491
"BOOKER","to have",6,-0.0825822971023811
"BOOKER","when I",6,0.164150281195637
"BOOKER","who are",6,0.0797687213862838
"KAMALA HARRIS","a decision",6,0.727507448173478
"KAMALA HARRIS","a private",6,0.825288887742416
"KAMALA HARRIS","a way",6,0.319488741483525
"KAMALA HARRIS","and he",6,0.288946603470008
"KAMALA HARRIS","And I'm",6,0.290068696930223
"KAMALA HARRIS","and that",6,0.0786193779363183
"KAMALA HARRIS","and they",6,0.159282419117023
"KAMALA HARRIS","care to",6,0.679672776921561
"KAMALA HARRIS","criminal justice",6,0.648740667923438
"KAMALA HARRIS","end of",6,0.296376993762324
"KAMALA HARRIS","for All",6,0.924886291713947
"KAMALA HARRIS","insurance companies",6,0.43165778087292
"KAMALA HARRIS","is why",6,0.407465904482052
"KAMALA HARRIS","justice system",6,0.80182020025537
"KAMALA HARRIS","looking at",6,0.439156055401902
"KAMALA HARRIS","million people",6,0.32981497970379
"KAMALA HARRIS","of my",6,0.188216891998929
"KAMALA HARRIS","of our",6,0.00996146792135822
"KAMALA HARRIS","of us",6,0.123231685415909
"KAMALA HARRIS","part of",6,0.0896619048563072
"KAMALA HARRIS","proud of",6,0.332674584927362
"KAMALA HARRIS","So I",6,0.169579186260986
"KAMALA HARRIS","that has",6,0.218921943037324
"KAMALA HARRIS","the fact",6,0.132374192086727
"KAMALA HARRIS","the issue",6,0.248446091941452
"KAMALA HARRIS","the position",6,0.844156347371798
"KAMALA HARRIS","the work",6,0.679672776921561
"KAMALA HARRIS","they are",6,0.134057690265125
"KAMALA HARRIS","they need",6,0.398993131006657
"KAMALA HARRIS","think about",6,0.419762112804374
"KAMALA HARRIS","this is",6,0.029025576712755
"KAMALA HARRIS","to health",6,0.924886291713947
"KAMALA HARRIS","Vice President",6,0.147304721614526
"KAMALA HARRIS","way that",6,0.33123897449092
"KAMALA HARRIS","which is",6,0.103269917101649
"KAMALA HARRIS","will say",6,0.651999487753729
"KAMALA HARRIS","you know",6,-0.0181847934659837
"BOOKER","a nation",5,0.329415707142954
"BOOKER","all I",5,0.323263161472178
"BOOKER","all the",5,0.0599907589523355
"BOOKER","and I",5,-0.105377397410544
"BOOKER","are going",5,0.0762050691246798
"BOOKER","beat Donald",5,1.07608179332507
"BOOKER","cause and",5,1.98026092118508
"BOOKER","city of",5,0.86638686930597
"BOOKER","climate change",5,0.355572444973751
"BOOKER","every single",5,0.270886105094338
"BOOKER","go to",5,0.0410535203366783
"BOOKER","have to",5,-0.176643265662442
"BOOKER","human rights",5,0.43529759877123
"BOOKER","issues of",5,0.621377005076311
"BOOKER","justice reform",5,1.09438302486718
"BOOKER","justice system",5,0.664656409194311
"BOOKER","not a",5,0.135307806186254
"BOOKER","not going",5,0.0676430999236178
"BOOKER","of Americans",5,0.275905234127611
"BOOKER","of my",5,0.146221490330647
"BOOKER","our nation",5,0.523064137890323
"BOOKER","our values",5,0.602346495104249
"BOOKER","people that",5,0.151484423604852
"BOOKER","say that",5,0.0949292726503538
"BOOKER","single day",5,0.655369025467187
"BOOKER","tell you",5,0.0477186438062004
"BOOKER","Thank you",5,-0.0880616256602511
"BOOKER","the civil",5,0.728808970281656
"BOOKER","the kind",5,0.160920831655442
"BOOKER","through the",5,0.282420474027714
"BOOKER","to a",5,0.086328818298717
"BOOKER","to get",5,-0.0902369354220832
"BOOKER","to take",5,0.0226340309686447
"BOOKER","up and",5,0.212049853426534
"BOOKER","we cannot",5,0.48574946794453
"BOOKER","we will",5,0.0992570124070879
"BOOKER","Well first",5,0.271504509198135
"BOOKER","which is",5,0.0726863913143344
"BOOKER","years ago",5,0.16890274879832
"BOOKER","you want",5,0.0992570124070879
"KAMALA HARRIS","1 percent",5,0.623129389045752
"KAMALA HARRIS","am proud",5,0.752266832845214
"KAMALA HARRIS","America today",5,0.714979074047479
"KAMALA HARRIS","and a",5,0.0653395893503651
"KAMALA HARRIS","And the",5,0.0363311201919377
"KAMALA HARRIS","as a",5,-0.0120936520954354
"KAMALA HARRIS","because I",5,0.0925971464991365
"KAMALA HARRIS","by the",5,-0.00499094885203971
"KAMALA HARRIS","Civil Rights",5,1.28058067127896
"KAMALA HARRIS","do not",5,0.153924270092077
"KAMALA HARRIS","does not",5,0.26530269767615
"KAMALA HARRIS","every day",5,0.376971256932046
"KAMALA HARRIS","fact that",5,0.159841138187829
"KAMALA HARRIS","first in",5,0.803161026443713
"KAMALA HARRIS","for president",5,0.228156699252705
"KAMALA HARRIS","get rid",5,0.253401930942169
"KAMALA HARRIS","I want",5,-0.0976154144597418
"KAMALA HARRIS","issue of",5,0.202864704940037
"KAMALA HARRIS","it was",5,0.0211173003639117
"KAMALA HARRIS","kind of",5,0.0148206993006754
"KAMALA HARRIS","know that",5,0.125415790777954
"KAMALA HARRIS","like to",5,0.057637666038451
"KAMALA HARRIS","look at",5,0.0461884643092762
"KAMALA HARRIS","members of",5,0.397660104466004
"KAMALA HARRIS","of a",5,0.0178238866934956
"KAMALA HARRIS","of that",5,0.0788292694471308
"KAMALA HARRIS","of their",5,0.172468635859354
"KAMALA HARRIS","President Biden",5,0.615176471280192
"KAMALA HARRIS","rid of",5,0.202457728056216
"KAMALA HARRIS","right now",5,0.0508851673964311
"KAMALA HARRIS","say that",5,0.0877976767745871
"KAMALA HARRIS","state of",5,0.221530741972136
"KAMALA HARRIS","that that",5,0.202051885618161
"KAMALA HARRIS","that they",5,0.0329377174584838
"KAMALA HARRIS","that was",5,0.115803644317797
"KAMALA HARRIS","the best",5,0.123767595629273
"KAMALA HARRIS","the nation",5,0.455029694351195
"KAMALA HARRIS","the second",5,0.388312627780141
"KAMALA HARRIS","there is",5,0.110804734326942
"KAMALA HARRIS","they have",5,0.111876494922403
"KAMALA HARRIS","to take",5,0.0136139965323403
"KAMALA HARRIS","took on",5,0.795316466765623
"KAMALA HARRIS","trying to",5,0.0842130327494183
"KAMALA HARRIS","under my",5,0.720849163999132
"KAMALA HARRIS","was a",5,0.0199735102099058
"KAMALA HARRIS","what I",5,0.0353175400839492
"KAMALA HARRIS","what we",5,0.0367130101175522
"KAMALA HARRIS","When I",5,0.339763453390926
"KAMALA HARRIS","when they",5,0.212552730933332
"KAMALA HARRIS","where we",5,0.19301741905817
"KAMALA HARRIS","who are",5,0.0364583072922357
"KAMALA HARRIS","who is",5,0.205745819144201
"KAMALA HARRIS","who we",5,0.562844598429273
"KAMALA HARRIS","with the",5,-0.0866118104799014
"KAMALA HARRIS","would not",5,0.207839152459146
"KAMALA HARRIS","You know",5,0.0197457888317858
"BOOKER","a criminal",4,0.66579057894758
"BOOKER","a national",4,0.248926891660385
"BOOKER","a referendum",4,1.51678399705451
"BOOKER","about this",4,0.147244879581571
"BOOKER","African Americans",4,0.394560121237744
"BOOKER","am president",4,0.70447002603534
"BOOKER","and make",4,0.237802174554323
"BOOKER","and our",4,0.151951841563099
"BOOKER","And this",4,0.228144717938079
"BOOKER","and who",4,0.381794929715386
"BOOKER","But the",4,0.102178116518325
"BOOKER","civil rights",4,0.365114247890617
"BOOKER","communities like",4,1.92216108023531
"BOOKER","do not",4,0.109718517542725
"BOOKER","don't have",4,0.0549541252545217
"BOOKER","everything from",4,0.80468901354499
"BOOKER","for our",4,0.120909421647808
"BOOKER","for the",4,-0.128168501872488
"BOOKER","from the",4,-0.0199601827969305
"BOOKER","got to",4,-0.0541366470592214
"BOOKER","he is",4,0.255607159870465
"BOOKER","health care",4,-0.0545542496243463
"BOOKER","I got",4,0.27693302415439
"BOOKER","I'll tell",4,0.239143878183057
"BOOKER","I'm the",4,0.216838359250748
"BOOKER","in common",4,1.02349524559599
"BOOKER","is about",4,0.242557539976553
"BOOKER","is an",4,0.130316449655292
"BOOKER","is because",4,0.227525008110396
"BOOKER","is that",4,-0.0253159176861794
"BOOKER","is what",4,0.11672064832648
"BOOKER","must be",4,0.289902655510007
"BOOKER","Newark New",4,2.07587580739711
"BOOKER","not enough",4,0.514125617638722
"BOOKER","not only",4,0.102636013362446
"BOOKER","now is",4,0.348557406157132
"BOOKER","number one",4,0.180727496707075
"BOOKER","of a",4,-0.00618091656226113
"BOOKER","of America",4,0.0908372398900237
"BOOKER","of our",4,-0.0384310676967287
"BOOKER","of us",4,0.0496172951798733
"BOOKER","our troops",4,0.243947431830107
"BOOKER","people are",4,0.10875014770896
"BOOKER","percent of",4,0.0547984441705612
"BOOKER","referendum on",4,1.79416630534304
"BOOKER","so I",4,0.220892353009657
"BOOKER","solve this",4,0.608672246318264
"BOOKER","that he",4,0.0665364683104367
"BOOKER","That is",4,0.110449859992869
"BOOKER","that people",4,0.19678748587441
"BOOKER","that will",4,0.0920934430917524
"BOOKER","That's how",4,0.457824922347694
"BOOKER","the city",4,0.572349080914544
"BOOKER","the corporate",4,0.493488300642637
"BOOKER","the criminal",4,0.696245858192118
"BOOKER","the first",4,0.0065581197492875
"BOOKER","the issues",4,0.270019416349741
"BOOKER","the stage",4,0.285135006187616
"BOOKER","this debate",4,0.233855388040554
"BOOKER","this issue",4,0.164185105692358
"BOOKER","time that",4,0.388969792470722
"BOOKER","tired of",4,0.507005531761782
"BOOKER","to make",4,-0.0969568351010849
"BOOKER","to me",4,0.129456783856106
"BOOKER","to unite",4,0.829886776351058
"BOOKER","together and",4,0.347134361443931
"BOOKER","told me",4,0.496781642529071
"BOOKER","Trump is",4,0.510533922096743
"BOOKER","trying to",4,0.0508172614354638
"BOOKER","us to",4,0.0732105353672614
"BOOKER","was a",4,-0.00432028271072384
"BOOKER","We are",4,0.113419757854002
"BOOKER","we can",4,-0.0553860511045402
"BOOKER","We can",4,0.169987999103173
"BOOKER","will beat",4,1.59544718658102
"BOOKER","will make",4,0.284200123759373
"BOOKER","with this",4,0.212353229936603
"BOOKER","you this",4,0.323521036583016
"KAMALA HARRIS","3 00",4,1.68604521197781
"KAMALA HARRIS","a plan",4,0.158150518991685
"KAMALA HARRIS","a state",4,0.242216543654923
"KAMALA HARRIS","a tax",4,0.178289712321778
"KAMALA HARRIS","about what",4,0.170521647202275
"KAMALA HARRIS","Affordable Care",4,0.543342788894236
"KAMALA HARRIS","American people",4,-0.0305032708241115
"KAMALA HARRIS","and not",4,0.155142501570781
"KAMALA HARRIS","And that",4,0.102880780904036
"KAMALA HARRIS","and there",4,0.303010806428089
"KAMALA HARRIS","and we",4,-0.0480532732422441
"KAMALA HARRIS","and what",4,0.160453811376968
"KAMALA HARRIS","And when",4,0.190887411687324
"KAMALA HARRIS","and your",4,0.304107754482315
"KAMALA HARRIS","are not",4,0.0775524692787292
"KAMALA HARRIS","back to",4,-0.000264371296584853
"KAMALA HARRIS","been in",4,0.216770326827309
"KAMALA HARRIS","cannot be",4,0.49791811262094
"KAMALA HARRIS","Care Act",4,0.547618871940721
"KAMALA HARRIS","country and",4,0.141749254426486
"KAMALA HARRIS","day one",4,0.401660539380905
"KAMALA HARRIS","death penalty",4,0.399655124602922
"KAMALA HARRIS","did not",4,0.178735223039346
"KAMALA HARRIS","do to",4,0.178735223039346
"KAMALA HARRIS","first of",4,0.136827673316065
"KAMALA HARRIS","for the",4,-0.14193662194293
"KAMALA HARRIS","for what",4,0.345575550277684
"KAMALA HARRIS","from the",4,-0.0293237375481069
"KAMALA HARRIS","have access",4,0.580198103387413
"KAMALA HARRIS","I agree",4,0.159296992833914
"KAMALA HARRIS","I care",4,0.791398763506457
"KAMALA HARRIS","I I",4,0.239378412483218
"KAMALA HARRIS","I look",4,0.382590690882418
"KAMALA HARRIS","I mean",4,0.0671170096581555
"KAMALA HARRIS","I ran",4,0.423093132434981
"KAMALA HARRIS","I took",4,0.40781982223143
"KAMALA HARRIS","if they",4,0.125153362211434
"KAMALA HARRIS","in our",4,0.0077762132567073
"KAMALA HARRIS","in place",4,0.206465365467587
"KAMALA HARRIS","is not",4,-0.0338983194263303
"KAMALA HARRIS","is this",4,0.22792908889532
"KAMALA HARRIS","issue that",4,0.324082563622027
"KAMALA HARRIS","made a",4,0.219778876245416
"KAMALA HARRIS","of it",4,0.109444506577613
"KAMALA HARRIS","of this",4,-0.0254471158995607
"KAMALA HARRIS","our plan",4,0.650110884113428
"KAMALA HARRIS","people in",4,0.0480124897392564
"KAMALA HARRIS","police officer",4,0.841953597694875
"KAMALA HARRIS","position to",4,0.656991550792003
"KAMALA HARRIS","preyed on",4,2.25593476043498
"KAMALA HARRIS","put in",4,0.237287406682063
"KAMALA HARRIS","reality is",4,0.420828865672314
"KAMALA HARRIS","Rights Division",4,2.25593476043498
"KAMALA HARRIS","running for",4,0.205915503173645
"KAMALA HARRIS","so many",4,0.209813001030165
"KAMALA HARRIS","terms of",4,0.132400375641293
"KAMALA HARRIS","than I",4,0.458178178585954
"KAMALA HARRIS","that question",4,0.322832611619874
"KAMALA HARRIS","that will",4,0.0858747091176631
"KAMALA HARRIS","the kind",4,0.104864269707557
"KAMALA HARRIS","the most",4,0.0254348047159188
"KAMALA HARRIS","the people",4,-0.048695683353354
"KAMALA HARRIS","the White",4,0.17434746016784
"KAMALA HARRIS","them to",4,0.109703905501013
"KAMALA HARRIS","there have",4,0.565633641453197
"KAMALA HARRIS","they do",4,0.253406972450173
"KAMALA HARRIS","they will",4,0.237980894727629
"KAMALA HARRIS","this country",4,-0.128577234348436
"KAMALA HARRIS","This is",4,-0.00324531977208557
"KAMALA HARRIS","this president",4,0.281666771855103
"KAMALA HARRIS","this stage",4,0.126629292881167
"KAMALA HARRIS","through the",4,0.208687771588574
"KAMALA HARRIS","to go",4,-0.0537414901016064
"KAMALA HARRIS","to say",4,0.00577999560028535
"KAMALA HARRIS","two and",4,0.618388842348644
"KAMALA HARRIS","very clear",4,0.262219849853965
"KAMALA HARRIS","we can",4,-0.0660513367649363
"KAMALA HARRIS","we do",4,0.056611228359515
"KAMALA HARRIS","We must",4,0.44745164180139
"KAMALA HARRIS","Well I",4,0.0486540490476437
"KAMALA HARRIS","what is",4,0.176962275091613
"KAMALA HARRIS","when we",4,0.0689862145342066
"KAMALA HARRIS","where you",4,0.29554927404044
"KAMALA HARRIS","White House",4,0.157391862869462
"KAMALA HARRIS","who have",4,0.10918563986125
"KAMALA HARRIS","why I",4,0.170941190216751
"KAMALA HARRIS","why we",4,0.248822673290716
"KAMALA HARRIS","with a",4,0.0313600511257463
"KAMALA HARRIS","with you",4,0.147567673070951
"KAMALA HARRIS","work of",4,0.856058248943373
"KAMALA HARRIS","would like",4,0.166805893650882
"KAMALA HARRIS","you can",4,0.034641503624709
"BOOKER","20 years",3,0.245582279266567
"BOOKER","a better",3,0.114187778167562
"BOOKER","a country",3,0.152117301954344
"BOOKER","a crisis",3,0.391860608781779
"BOOKER","about it",3,0.0462466291247602
"BOOKER","about the",3,-0.0486323621049506
"BOOKER","about time",3,0.847701059421264
"BOOKER","all of",3,-0.0509931610733681
"BOOKER","an issue",3,0.213703850585258
"BOOKER","an urgency",3,1.95410948475534
"BOOKER","and a",3,-0.00357006231654762
"BOOKER","And I'll",3,0.259148104612087
"BOOKER","and more",3,0.203458337140794
"BOOKER","and not",3,0.100928555961883
"BOOKER","And the",3,-0.0251085484346349
"BOOKER","And you",3,0.0625151369042848
"BOOKER","are being",3,0.237295167361277
"BOOKER","are in",3,0.117257803733843
"BOOKER","are talking",3,0.437068396671638
"BOOKER","back to",3,-0.0265309415502805
"BOOKER","be a",3,-0.0317930816186883
"BOOKER","be the",3,0.021259415379344
"BOOKER","because they",3,0.0918338340576683
"BOOKER","best of",3,0.556854833403212
"BOOKER","But if",3,0.171980188979318
"BOOKER","but in",3,0.340604738145932
"BOOKER","But this",3,0.304353341555376
"BOOKER","calling it",3,1.04165787410519
"BOOKER","civil courts",3,1.95410948475534
"BOOKER","combatting the",3,1.95410948475534
"BOOKER","comes to",3,0.131291611150741
"BOOKER","corporate gun",3,1.95410948475534
"BOOKER","country that",3,0.177254748913566
"BOOKER","crime bill",3,0.589375078782793
"BOOKER","dealing with",3,0.156011781543571
"BOOKER","fact that",3,0.0637623577586885
"BOOKER","First of",3,0.169713493591128
"BOOKER","give up",3,0.345013566352625
"BOOKER","going on",3,0.128949747845513
"BOOKER","gun lobby",3,0.764212140516932
"BOOKER","gun violence",3,0.549457282928969
"BOOKER","have an",3,0.0671613215389266
"BOOKER","head of",3,0.324198241279294
"BOOKER","health insurance",3,0.0926540512077735
"BOOKER","how I",3,0.398055119303749
"BOOKER","I agree",3,0.10424429803737
"BOOKER","I just",3,0.0498593398882879
"BOOKER","I think",3,-0.287008420785941
"BOOKER","I'm grateful",3,1.08805103415674
"BOOKER","I'm sorry",3,0.184056543333827
"BOOKER","If I",3,0.235307776430481
"BOOKER","if you're",3,0.126657924644066
"BOOKER","in a",3,-0.0944022543294142
"BOOKER","in places",3,0.627642161121403
"BOOKER","in prison",3,0.564526784222975
"BOOKER","inner city",3,0.528754724514052
"BOOKER","into the",3,0.0234033317360541
"BOOKER","into this",3,0.180913935487696
"BOOKER","is one",3,0.135722219244621
"BOOKER","is time",3,0.401244156964615
"BOOKER","is to",3,-0.0186478096172614
"BOOKER","issue because",3,0.661259331952512
"BOOKER","it comes",3,0.122579574090153
"BOOKER","It's not",3,0.119708302125936
"BOOKER","just a",3,0.122216414416764
"BOOKER","just to",3,0.209656737102543
"BOOKER","just want",3,0.18598480823056
"BOOKER","let the",3,0.249943256911375
"BOOKER","live in",3,0.203458337140794
"BOOKER","me that",3,0.204977389476615
"BOOKER","Medicare for",3,0.301031864735603
"BOOKER","my colleagues",3,0.322273538785643
"BOOKER","my friend",3,0.359087230248638
"BOOKER","need a",3,0.0926540512077735
"BOOKER","no one",3,0.253316769589361
"BOOKER","not take",3,0.556854833403212
"BOOKER","not the",3,0.0551293484591114
"BOOKER","of Newark",3,1.95410948475534
"BOOKER","of who",3,0.498448818356377
"BOOKER","our allies",3,0.212883238446
"BOOKER","our common",3,1.14090516049547
"BOOKER","our community",3,0.872929252891387
"BOOKER","places like",3,0.564526784222975
"BOOKER","purpose That's",3,1.75067296069044
"BOOKER","said that",3,0.000844108501481457
"BOOKER","Secretary Castro",3,0.535421590333959
"BOOKER","see that",3,0.259148104612087
"BOOKER","States Senate",3,0.21206829135039
"BOOKER","stood up",3,0.291528198169776
"BOOKER","systemic racism",3,0.847701059421264
"BOOKER","take contributions",3,1.75067296069044
"BOOKER","taken on",3,0.700387103470778
"BOOKER","talk about",3,-0.024630774048471
"BOOKER","than the",3,0.135722219244621
"BOOKER","that has",3,0.0686831299237584
"BOOKER","that the",3,-0.121567364005314
"BOOKER","that they",3,-0.0276572734960973
"BOOKER","that you",3,-0.0658323014011299
"BOOKER","that's how",3,0.441107002916067
"BOOKER","That's the",3,0.105786421913933
"BOOKER","the border",3,0.113517410012092
"BOOKER","the challenges",3,0.437068396671638
"BOOKER","the fact",3,0.0150627826228318
"BOOKER","the free",3,0.364087907127163
