"Speaker","Unigram","n","log_odds"
"BOOKER","going",31,-0.00792374465695632
"KAMALA HARRIS","by",31,0.185567580259372
"KAMALA HARRIS","their",31,0.200103587134908
"BOOKER","from",30,0.138591979816022
"BOOKER","one",30,0.135995385816908
"KAMALA HARRIS","need",30,0.223902845890395
"BOOKER","as",29,-0.0354522404290637
"BOOKER","who",29,0.0627683802697977
"KAMALA HARRIS","going",29,-0.059271669307664
"BOOKER","us",28,0.204548818138386
"KAMALA HARRIS","as",28,-0.0749243768188811
"BOOKER","all",27,0.04022044077211
"BOOKER","do",27,-0.123270929074994
"BOOKER","like",27,0.266252127489317
"BOOKER","right",27,0.191257856767025
"KAMALA HARRIS","at",27,0.054078959530697
"BOOKER","but",26,0.116772866579105
"BOOKER","just",26,0.132771338619727
"BOOKER","was",26,-0.0657325059089509
"KAMALA HARRIS","America",26,0.25675067112232
"KAMALA HARRIS","would",26,-0.0701042947414568
"BOOKER","country",25,0.0949729800184848
"KAMALA HARRIS","all",24,-0.0247726836610467
"KAMALA HARRIS","one",24,0.0253751633009274
"KAMALA HARRIS","president",24,0.133657132217318
"KAMALA HARRIS","us",24,0.117747538897133
"BOOKER","But",23,0.0219114163610363
"BOOKER","president",23,0.135360913405486
"KAMALA HARRIS","because",23,0.0283737716622615
"KAMALA HARRIS","So",23,0.200213080269482
"KAMALA HARRIS","tell",23,0.446572475536196
"BOOKER","be",22,-0.243380921669004
"BOOKER","need",22,0.107491275963428
"BOOKER","out",22,0.0482826575131577
"KAMALA HARRIS","know",22,-0.0108501223061443
"KAMALA HARRIS","there",22,0.0374977357301208
"BOOKER","more",21,0.0738453231282035
"KAMALA HARRIS","get",21,-0.0290217642580893
"KAMALA HARRIS","issue",21,0.353214904526345
"KAMALA HARRIS","so",21,0.0726806888050168
"KAMALA HARRIS","where",21,0.253159518898063
"KAMALA HARRIS","your",21,0.0288190304359028
"BOOKER","if",20,-0.0215622566241843
"BOOKER","want",20,-0.0243991032951656
"BOOKER","what",20,-0.151874108903621
"KAMALA HARRIS","he",20,0.0188328282225753
"BOOKER","APPLAUSE",19,0.539578248311579
"BOOKER","common",19,1.49090253148749
"BOOKER","Donald",19,0.736453001850971
"BOOKER","make",19,0.0577364215410444
"BOOKER","so",19,0.0579057204453446
"BOOKER","they",19,-0.124649924473754
"BOOKER","United",19,0.173567720506159
"KAMALA HARRIS","American",19,0.105649228090021
"KAMALA HARRIS","from",19,-0.0461946951444733
"KAMALA HARRIS","more",19,0.0210337345380022
"KAMALA HARRIS","them",19,-0.00292926951408326
"KAMALA HARRIS","Trump",19,0.557609877860784
"KAMALA HARRIS","We",19,-0.139266445553054
"KAMALA HARRIS","when",19,0.0226864402645245
"BOOKER","by",18,0.000356058453422157
"BOOKER","has",18,-0.0664788031200214
"BOOKER","issue",18,0.2886782395846
"BOOKER","me",18,-0.0034627011740982
"BOOKER","States",18,0.160645170370052
"BOOKER","up",18,0.00824770544268173
"KAMALA HARRIS","think",18,-0.187953819353311
"KAMALA HARRIS","up",18,-0.0121061153362981
"KAMALA HARRIS","want",18,-0.0759250544087854
"KAMALA HARRIS","Well",18,0.0960346046208894
"BOOKER","America",17,0.0986846968701189
"BOOKER","go",17,0.0541651351793784
"BOOKER","know",17,-0.0613568171933659
"BOOKER","say",17,0.050558123522803
"BOOKER","their",17,-0.00537844074533051
"BOOKER","Trump",17,0.493949791841415
"KAMALA HARRIS","Donald",17,0.640816894299079
"KAMALA HARRIS","families",17,0.556529620061029
"KAMALA HARRIS","or",17,-0.0223003331056972
"KAMALA HARRIS","say",17,0.0322451737808878
"KAMALA HARRIS","which",17,0.0936954493657179
"KAMALA HARRIS","why",17,0.224315614219793
"KAMALA HARRIS","work",17,0.203699577244977
"BOOKER","can",16,-0.088852588470478
"BOOKER","criminal",16,1.20139443887781
"BOOKER","nation",16,0.441681378298912
"BOOKER","other",16,0.151484792086075
"BOOKER","way",16,0.0917524247290353
"KAMALA HARRIS","But",16,-0.102097430579632
"KAMALA HARRIS","care",16,0.137415233356404
"KAMALA HARRIS","country",16,-0.0653337913137019
"KAMALA HARRIS","now",16,0.0221669942021609
"KAMALA HARRIS","those",16,0.0513830541044497
"BOOKER","Americans",15,0.249786205558525
"BOOKER","at",15,-0.0963698313840325
"BOOKER","city",15,0.814961374133365
"BOOKER","community",15,0.662591330172458
"BOOKER","it's",15,-0.0279034157980015
"BOOKER","problem",15,0.291679358050278
"BOOKER","than",15,0.10325435763794
"BOOKER","when",15,-0.0238081900671829
"KAMALA HARRIS","but",15,-0.0758196558575397
"KAMALA HARRIS","can",15,-0.126060501326301
"KAMALA HARRIS","first",15,0.0965824674576976
"KAMALA HARRIS","It",15,0.0949988275041111
"KAMALA HARRIS","were",15,0.0429603051055855
"KAMALA HARRIS","You",15,-0.00506002351787354
"BOOKER","American",14,0.0280597499091184
"BOOKER","every",14,0.167691083785667
"BOOKER","get",14,-0.108006670200863
"BOOKER","It",14,0.0888809580853854
"BOOKER","It's",14,0.118953968151501
"BOOKER","system",14,0.251789482891095
"BOOKER","that's",14,0.0162591594532674
"BOOKER","This",14,0.193282841173951
"KAMALA HARRIS","children",14,0.32797897784156
"KAMALA HARRIS","I'm",14,-0.0993549288874705
"KAMALA HARRIS","system",14,0.240558961682282
"KAMALA HARRIS","time",14,-0.00425470543664394
"BOOKER","African",13,0.744747366236351
"BOOKER","deal",13,0.287010994647166
"BOOKER","first",13,0.0689186049561774
"BOOKER","how",13,0.0542276046519198
"BOOKER","into",13,0.101836346868384
"BOOKER","justice",13,0.84062906872774
"BOOKER","only",13,0.144478401801337
"BOOKER","The",13,-0.0877904878061326
"KAMALA HARRIS","California",13,0.950362502815673
"KAMALA HARRIS","Department",13,0.810142971498879
"KAMALA HARRIS","just",13,-0.0952476793415272
"KAMALA HARRIS","Justice",13,1.11580934692612
"KAMALA HARRIS","many",13,0.183013633769454
"KAMALA HARRIS","me",13,-0.102887357352914
"KAMALA HARRIS","Medicare",13,0.392465652202327
"KAMALA HARRIS","said",13,-0.0911958067901521
"KAMALA HARRIS","take",13,0.0368174037519265
"KAMALA HARRIS","talk",13,0.192359317173542
"KAMALA HARRIS","years",13,0.00266350156801362
"BOOKER","been",12,-0.0880433660582272
"BOOKER","come",12,0.124143009021883
"BOOKER","communities",12,0.804768441523031
"BOOKER","corporate",12,0.744531591817719
"BOOKER","don't",12,-0.10578248852484
"BOOKER","or",12,-0.0832510760321764
"BOOKER","rights",12,0.376719517267499
"BOOKER","said",12,-0.0869859624033078
"BOOKER","should",12,-0.0247896224772223
"BOOKER","Well",12,-0.00257648026730587
"BOOKER","why",12,0.114108440952964
"KAMALA HARRIS","agree",12,0.288348864763377
"KAMALA HARRIS","am",12,0.244370130584843
"KAMALA HARRIS","being",12,0.171499875653109
"KAMALA HARRIS","health",12,0.0663929943155468
"KAMALA HARRIS","President",12,-0.0145327379150593
"KAMALA HARRIS","The",12,-0.124355979648114
"KAMALA HARRIS","They",12,0.091620831868722
"KAMALA HARRIS","way",12,-0.00418241690961364
"BOOKER","against",11,0.136850901687413
"BOOKER","back",11,-0.0144582677207158
"BOOKER","him",11,0.189596727451812
"BOOKER","Senate",11,0.330072519646679
"BOOKER","sure",11,0.12611247007031
"BOOKER","there",11,-0.114404916603205
"BOOKER","time",11,-0.0417955150414491
"BOOKER","very",11,-0.0743541603543714
"BOOKER","were",11,-0.0179534787013678
"BOOKER","where",11,0.0443914704018963
"BOOKER","years",11,-0.0192365760815239
"KAMALA HARRIS","also",11,0.0376770517740701
"KAMALA HARRIS","an",11,-0.136237614581721
"KAMALA HARRIS","had",11,-0.0627974470822241
"KAMALA HARRIS","must",11,0.33858288686789
"KAMALA HARRIS","out",11,-0.142875652856867
"KAMALA HARRIS","policy",11,0.145954586742755
"KAMALA HARRIS","should",11,-0.0609259180752272
"KAMALA HARRIS","than",11,0.00340332533882436
"KAMALA HARRIS","under",11,0.225485164754283
"KAMALA HARRIS","women",11,0.366328112811114
"BOOKER","beat",10,0.758925103057337
"BOOKER","climate",10,0.641832317682451
"BOOKER","crisis",10,0.462926177816899
"BOOKER","even",10,0.197815360883308
"BOOKER","fight",10,0.313004331883465
"BOOKER","had",10,-0.0632453959368462
"BOOKER","health",10,0.0345617399472942
"BOOKER","here",10,-0.0905988230580493
"BOOKER","If",10,0.0664882689753503
"BOOKER","no",10,-0.00739113825690636
"BOOKER","percent",10,0.0550537966011365
"BOOKER","see",10,0.10484116306438
"BOOKER","That's",10,0.0210681312013768
"KAMALA HARRIS","able",10,0.131463301386433
"KAMALA HARRIS","All",10,0.198328525793518
"KAMALA HARRIS","attorney",10,1.22298948649091
"KAMALA HARRIS","black",10,0.743524699382947
"KAMALA HARRIS","companies",10,0.292144039220421
"KAMALA HARRIS","day",10,0.196113754506087
"KAMALA HARRIS","decision",10,0.374577540058312
"KAMALA HARRIS","did",10,0.0175409585755063
"KAMALA HARRIS","done",10,0.0655442292536738
"KAMALA HARRIS","fact",10,0.0792343263698956
"KAMALA HARRIS","great",10,0.133598978150227
"KAMALA HARRIS","healthcare",10,0.83849383452745
"KAMALA HARRIS","if",10,-0.189039867447459
"KAMALA HARRIS","like",10,-0.0699399367162333
"KAMALA HARRIS","only",10,0.0565285810922894
"KAMALA HARRIS","position",10,0.315545803814705
"KAMALA HARRIS","That",10,0.103726966703872
"KAMALA HARRIS","trade",10,0.265091350483593
"BOOKER","actually",9,0.15792377322062
"BOOKER","being",9,0.0977068096575663
"BOOKER","change",9,0.112787284059891
"BOOKER","civil",9,0.550194260161367
"BOOKER","day",9,0.171900913293332
"BOOKER","enough",9,0.291142394331222
"BOOKER","got",9,-0.0728650708555606
"BOOKER","gun",9,0.386823280505796
"BOOKER","he",9,-0.137050926304757
"BOOKER","human",9,0.433719804687916
"BOOKER","issues",9,0.168264175094339
"BOOKER","mine",9,0.796851733682804
"BOOKER","President",9,-0.0561442848678343
"BOOKER","school",9,0.250759568931085
"BOOKER","stage",9,0.258334882900684
"BOOKER","take",9,-0.0303834306273917
"BOOKER","work",9,0.0264326753500743
"BOOKER","You",9,-0.0933520390679093
"KAMALA HARRIS","child",9,0.356174002855745
"KAMALA HARRIS","end",9,0.180154144119131
"KAMALA HARRIS","every",9,0.0301827734369225
"KAMALA HARRIS","general",9,0.577390303933966
"KAMALA HARRIS","how",9,-0.0446674607063311
"KAMALA HARRIS","I've",9,-0.0265425979736776
"KAMALA HARRIS","it's",9,-0.146351174009697
"KAMALA HARRIS","jobs",9,0.0348888442981534
"KAMALA HARRIS","justice",9,0.557489122683805
"KAMALA HARRIS","look",9,0.0543211813525539
"KAMALA HARRIS","million",9,0.114823201515119
"KAMALA HARRIS","public",9,0.208635437065028
"KAMALA HARRIS","put",9,0.0390765262557607
"KAMALA HARRIS","right",9,-0.132871730719454
"KAMALA HARRIS","second",9,0.285627128353902
"KAMALA HARRIS","Senate",9,0.241621915397649
"KAMALA HARRIS","two",9,0.0387167017900881
"KAMALA HARRIS","very",9,-0.127680165683687
"KAMALA HARRIS","working",9,0.150528934070604
"BOOKER","am",8,0.12372669238971
"BOOKER","believe",8,-0.0582810035540042
"BOOKER","best",8,0.161451278949358
"BOOKER","better",8,0.0817513367926195
"BOOKER","bill",8,0.175412996378705
"BOOKER","border",8,0.258110090602819
"BOOKER","can't",8,0.0709535356751551
"BOOKER","let",8,0.0333187119561008
"BOOKER","Mr",8,-0.0171136340562527
"BOOKER","must",8,0.222379338573881
"BOOKER","national",8,0.152511278738379
"BOOKER","Newark",8,2.71848037686528
"BOOKER","problems",8,0.219149767807315
"BOOKER","purpose",8,0.760057012212493
"BOOKER","put",8,0.0264840271355364
"BOOKER","stand",8,0.186271373505199
"BOOKER","them",8,-0.15696639230321
"BOOKER","those",8,-0.0838843522538625
"BOOKER","together",8,0.150181596223808
"BOOKER","Vice",8,0.231645953185283
"BOOKER","which",8,-0.0683090271536542
"KAMALA HARRIS","access",8,0.569616976398726
"KAMALA HARRIS","Act",8,0.410937568682434
"KAMALA HARRIS","Because",8,0.243499454441636
"KAMALA HARRIS","believe",8,-0.0743061856185884
"KAMALA HARRIS","Biden",8,0.448954658715975
"KAMALA HARRIS","change",8,0.0722612299529767
"KAMALA HARRIS","clear",8,0.205295363119054
"KAMALA HARRIS","criminal",8,0.568186806393671
"KAMALA HARRIS","don't",8,-0.188788952121073
"KAMALA HARRIS","go",8,-0.125538245660646
"KAMALA HARRIS","He",8,0.0545384181571236
"KAMALA HARRIS","insurance",8,0.150386987147744
"KAMALA HARRIS","into",8,-0.0269986004123141
"KAMALA HARRIS","no",8,-0.0647235485652375
"KAMALA HARRIS","percent",8,-0.00671809181585281
"KAMALA HARRIS","private",8,0.255886355038184
"KAMALA HARRIS","proud",8,0.302631144570658
"KAMALA HARRIS","state",8,0.000184592797206615
"KAMALA HARRIS","tax",8,-0.0852838192487539
"KAMALA HARRIS","these",8,-0.0471421366740386
"KAMALA HARRIS","they're",8,0.0401992061199106
"KAMALA HARRIS","today",8,0.0944768155455689
"KAMALA HARRIS","When",8,0.164485670140758
"KAMALA HARRIS","year",8,0.0328588352517055
"BOOKER","agree",7,0.120690446554832
"BOOKER","campaign",7,0.0623686977619135
"BOOKER","cannot",7,0.244617872561106
"BOOKER","care",7,-0.0474993679360034
"BOOKER","children",7,0.102109642609097
"BOOKER","did",7,-0.0367593228598271
"BOOKER","didn't",7,0.0681518172362155
"BOOKER","having",7,0.159164144350152
"BOOKER","healthcare",7,0.574520459001498
"BOOKER","home",7,0.132522708792093
"BOOKER","I'll",7,0.097305430493995
"BOOKER","kind",7,0.0790290950167946
"BOOKER","lead",7,0.21554934034492
"BOOKER","Look",7,0.255670959805499
"BOOKER","lot",7,-0.0188564753506862
"BOOKER","policy",7,0.0429922679671328
"BOOKER","reasons",7,0.430222438379931
"BOOKER","reform",7,0.148232970673489
"BOOKER","single",7,0.20894842453639
"BOOKER","then",7,-0.0243116961028371
"BOOKER","They",7,-0.0160320033215507
"BOOKER","values",7,0.307362171159239
"KAMALA HARRIS","back",7,-0.109438270665518
"KAMALA HARRIS","cannot",7,0.237859021108907
"KAMALA HARRIS","coverage",7,0.473692874178948
"KAMALA HARRIS","does",7,0.105813884812691
"KAMALA HARRIS","economy",7,0.0163964631488506
"KAMALA HARRIS","far",7,0.205761027856434
"KAMALA HARRIS","getting",7,0.116850274059074
"KAMALA HARRIS","got",7,-0.127691578249084
"KAMALA HARRIS","keep",7,0.0932890864202118
"KAMALA HARRIS","let's",7,0.120358828046744
"KAMALA HARRIS","most",7,0.019654100279271
"KAMALA HARRIS","My",7,0.131529728582876
"KAMALA HARRIS","nothing",7,0.270246607636144
"KAMALA HARRIS","own",7,0.098543165254203
"KAMALA HARRIS","place",7,0.11619024023404
"KAMALA HARRIS","point",7,0.0766079875368891
"KAMALA HARRIS","that's",7,-0.131015328165871
"KAMALA HARRIS","then",7,-0.0380829588438914
"KAMALA HARRIS","through",7,0.0859774073823082
"KAMALA HARRIS","we've",7,-0.00831919894119269
"BOOKER","calling",6,0.577171822864501
"BOOKER","cause",6,0.410701605938535
"BOOKER","consolidation",6,1.85781990278881
"BOOKER","done",6,-0.0235661865659764
"BOOKER","each",6,0.161063697414044
"BOOKER","far",6,0.168281925068224
"BOOKER","give",6,-0.00728232284149903
"BOOKER","his",6,-0.0447898754328605
"BOOKER","Jersey",6,0.591842061567211
"BOOKER","kids",6,0.143152705332229
"BOOKER","majority",6,0.365431843966602
"BOOKER","New",6,0.0417939165286034
"BOOKER","parents",6,0.253174814306544
"BOOKER","person",6,0.135041980979402
"BOOKER","poverty",6,0.336245207435531
"BOOKER","talking",6,0.048651045795377
"BOOKER","these",6,-0.075746568825945
"BOOKER","think",6,-0.304741758695455
"BOOKER","through",6,0.0627416247620062
"BOOKER","tired",6,0.725860177095743
"BOOKER","under",6,0.0674480627338889
"BOOKER","we're",6,-0.135097777414149
"BOOKER","you're",6,-0.0321105904401114
"BOOKER","your",6,-0.18871629806941
"KAMALA HARRIS","1",6,0.305528732060952
"KAMALA HARRIS","10",6,0.143663674185556
"KAMALA HARRIS","Americans",6,-0.00983866679396869
"KAMALA HARRIS","before",6,0.0403428180878479
"KAMALA HARRIS","Congress",6,0.0420941446984486
"KAMALA HARRIS","doing",6,0.0209853145211685
"KAMALA HARRIS","down",6,-0.0464297212675613
"KAMALA HARRIS","elected",6,0.220573588488252
"KAMALA HARRIS","everyone",6,0.21622273468046
"KAMALA HARRIS","fight",6,0.137281641662513
"KAMALA HARRIS","four",6,0.131775800176818
"KAMALA HARRIS","help",6,0.0318590887417119
"KAMALA HARRIS","her",6,0.11785979866365
"KAMALA HARRIS","him",6,0.0260129088723801
"KAMALA HARRIS","his",6,-0.0584280744908385
"KAMALA HARRIS","law",6,0.0537776824639132
"KAMALA HARRIS","long",6,0.0687243670754471
"KAMALA HARRIS","looking",6,0.202854778183054
"KAMALA HARRIS","make",6,-0.182380188671491
"KAMALA HARRIS","members",6,0.368602611315679
"KAMALA HARRIS","nation",6,0.0774213692235905
"KAMALA HARRIS","needs",6,0.168732246494306
"KAMALA HARRIS","over",6,-0.0803708063627329
"KAMALA HARRIS","parents",6,0.247313628782555
"KAMALA HARRIS","part",6,0.0504048086650977
"KAMALA HARRIS","question",6,-0.162276496275816
"KAMALA HARRIS","reality",6,0.402252896772635
"KAMALA HARRIS","Rights",6,0.764816488884301
"KAMALA HARRIS","school",6,0.121904576493261
"KAMALA HARRIS","science",6,0.522997259163265
"KAMALA HARRIS","something",6,-0.0112938423852429
"KAMALA HARRIS","stage",6,0.127670234343874
"KAMALA HARRIS","support",6,0.01500773748984
"KAMALA HARRIS","things",6,-0.0651373344155212
"KAMALA HARRIS","too",6,0.0669313475594998
"KAMALA HARRIS","took",6,0.184278607257516
"KAMALA HARRIS","Vice",6,0.139452676159262
"KAMALA HARRIS","wrong",6,0.0878773336109001
"KAMALA HARRIS","yes",6,0.192674403375535
"BOOKER","20",5,0.176897371241698
"BOOKER","ago",5,0.0521112592697408
"BOOKER","away",5,0.101197726495896
"BOOKER","before",5,0.0186588484864583
"BOOKER","challenges",5,0.354010486590583
"BOOKER","comes",5,0.127699510572596
"BOOKER","coming",5,0.10454761686494
"BOOKER","courts",5,0.508657941600559
"BOOKER","crime",5,0.239970485988716
"BOOKER","debate",5,-0.00193504777158446
"BOOKER","drugs",5,0.266071668228044
"BOOKER","end",5,0.0485515338873384
"BOOKER","everything",5,0.131780139414998
"BOOKER","fact",5,-0.0397132142224706
"BOOKER","find",5,0.107211242148322
"BOOKER","First",5,0.192798759090276
"BOOKER","high",5,0.136939471090337
"BOOKER","isn't",5,0.190312567566355
"BOOKER","LAUGHTER",5,0.239472947715293
"BOOKER","law",5,0.0304302037415663
"BOOKER","leader",5,0.23652280527744
"BOOKER","major",5,0.168824764922497
"BOOKER","many",5,-0.0254634026778008
"BOOKER","most",5,-0.0239347638890702
"BOOKER","My",5,0.0657620597603143
"BOOKER","neighborhood",5,0.741474988313654
"BOOKER","number",5,0.064489817524604
"BOOKER","place",5,0.0536649545079339
"BOOKER","point",5,0.0221638755835911
"BOOKER","racism",5,0.642378936966566
"BOOKER","schools",5,0.114309831744496
"BOOKER","security",5,0.065053818045661
"BOOKER","shooting",5,0.866630648160289
"BOOKER","solve",5,0.240469723216505
"BOOKER","start",5,0.0556316477508167
"BOOKER","talk",5,-0.0202040034641191
"BOOKER","tell",5,-0.0298884318068319
"BOOKER","Thank",5,-0.0874887104324842
"BOOKER","There",5,0.0392020198124974
"BOOKER","there's",5,0.0245838492958425
"BOOKER","things",5,-0.0746676639601637
"BOOKER","too",5,0.0419305661717772
"BOOKER","urgency",5,1.37997016766828
"BOOKER","win",5,0.13155020209349
"KAMALA HARRIS","3",5,0.34588973210312
"KAMALA HARRIS","act",5,0.246288751861028
"KAMALA HARRIS","action",5,0.194723135246759
"KAMALA HARRIS","actually",5,0.0168929615552491
"KAMALA HARRIS","administration",5,0.0206119023367047
"KAMALA HARRIS","against",5,-0.0392554288961279
"KAMALA HARRIS","allow",5,0.170688195106542
"KAMALA HARRIS","always",5,0.142718136810148
"KAMALA HARRIS","around",5,0.0246592001315285
"KAMALA HARRIS","best",5,0.0448399456995181
"KAMALA HARRIS","called",5,0.070002537635568
"KAMALA HARRIS","came",5,0.0706432782839997
"KAMALA HARRIS","choice",5,0.137989135376086
"KAMALA HARRIS","Civil",5,0.917601568469264
"KAMALA HARRIS","full",5,0.294612416512606
"KAMALA HARRIS","give",5,-0.0462188009672037
"KAMALA HARRIS","here",5,-0.19546958017457
"KAMALA HARRIS","In",5,0.00114712597685651
"KAMALA HARRIS","including",5,0.173315406853445
"KAMALA HARRIS","It's",5,-0.0994276916405823
"KAMALA HARRIS","kind",5,0.00552783962950067
"KAMALA HARRIS","let",5,-0.0568984443461161
"KAMALA HARRIS","listen",5,0.306200098128716
"KAMALA HARRIS","made",5,-0.0364983296151343
"KAMALA HARRIS","making",5,0.0463250462876414
"KAMALA HARRIS","middle",5,0.0947209186325221
"KAMALA HARRIS","office",5,0.150404183469818
"KAMALA HARRIS","officer",5,0.607556762461841
"KAMALA HARRIS","passed",5,0.188327286445549
"KAMALA HARRIS","race",5,0.183265234909614
"KAMALA HARRIS","real",5,0.0717715163248625
"KAMALA HARRIS","really",5,-5.3598950049124e-05
"KAMALA HARRIS","rid",5,0.196270087190166
"KAMALA HARRIS","saw",5,0.21668963732626
"KAMALA HARRIS","Senator",5,-0.256590755861133
"KAMALA HARRIS","she",5,0.0562927826550016
"KAMALA HARRIS","some",5,-0.131676313556615
"KAMALA HARRIS","talking",5,0.00666875641750782
"KAMALA HARRIS","teachers",5,0.23423817687919
"KAMALA HARRIS","threat",5,0.18362095907974
"KAMALA HARRIS","trying",5,0.0783951275735266
"BOOKER","action",4,0.144428566495887
"BOOKER","addiction",4,1.00063376022729
"BOOKER","address",4,0.189394330541801
"BOOKER","already",4,0.120408851182064
"BOOKER","also",4,-0.107022563573235
"BOOKER","around",4,0.000749395088912658
"BOOKER","Because",4,0.0745394276011995
"BOOKER","both",4,0.00726421687440008
"BOOKER","bring",4,-0.0119562129914006
"BOOKER","broken",4,0.29836195292847
"BOOKER","call",4,0.117552581220043
"BOOKER","China",4,0.0359560861232887
"BOOKER","companies",4,0.0542933878151229
"BOOKER","countries",4,0.0815925015451517
"BOOKER","dealing",4,0.218016139500572
"BOOKER","Democrats",4,0.0620309354581007
"BOOKER","dignity",4,0.460898661094671
"BOOKER","divide",4,0.487393407267519
"BOOKER","doing",4,-0.0284869568676006
"BOOKER","economy",4,-0.0540360757648363
"BOOKER","election",4,0.0759909164980893
"BOOKER","everybody",4,0.0409478973121449
"BOOKER","everyone",4,0.119362446402026
"BOOKER","forward",4,0.0810206646943051
"BOOKER","free",4,0.0490472475573762
"BOOKER","history",4,0.0959721620777294
"BOOKER","I've",4,-0.120150926782539
"BOOKER","licensing",4,0.830091679667943
"BOOKER","life",4,-0.0279961505200609
"BOOKER","literally",4,0.382198727114763
"BOOKER","long",4,0.00886363487742653
"BOOKER","making",4,0.0193559080361834
"BOOKER","Michigan",4,0.315708048628959
"BOOKER","moved",4,0.367124718099507
"BOOKER","much",4,-0.0807796926149889
"BOOKER","off",4,0.00268086689496328
"BOOKER","old",4,0.142525184183737
"BOOKER","party",4,0.0690716142901786
"BOOKER","policies",4,0.123603049868927
"BOOKER","power",4,0.0592914354541299
"BOOKER","pulled",4,0.658979898443601
"BOOKER","question",4,-0.179864604479848
"BOOKER","reason",4,0.0640018991514143
"BOOKER","referendum",4,1.24248563003861
"BOOKER","saying",4,0.00474464461073278
"BOOKER","says",4,0.0212290342167956
"BOOKER","seen",4,0.0898926459084369
"BOOKER","So",4,-0.15312992428802
"BOOKER","something",4,-0.0542418649590776
"BOOKER","stood",4,0.235082790307217
"BOOKER","That",4,-0.0509853215367322
"BOOKER","There's",4,0.107933615730489
"BOOKER","threat",4,0.135193659556207
"BOOKER","today",4,-0.0196420230125803
"BOOKER","told",4,0.131398260254464
"BOOKER","trade",4,0.040124902358212
"BOOKER","troops",4,0.0341174238014553
"BOOKER","trying",4,0.0467204753410837
"BOOKER","two",4,-0.0754193782331047
"BOOKER","unite",4,0.57747221759538
"BOOKER","use",4,0.0227711623888514
"BOOKER","using",4,0.201395427866642
"BOOKER","violence",4,0.269704612541543
"BOOKER","wait",4,0.229354267450065
"BOOKER","When",4,0.0257896138469755
"BOOKER","won",4,0.222080982707366
"BOOKER","working",4,-0.00439891644440386
"BOOKER","would",4,-0.315891678715201
"KAMALA HARRIS","00",4,0.769147416407345
"KAMALA HARRIS","accountable",4,0.368843786048372
"KAMALA HARRIS","Affordable",4,0.543411275926166
"KAMALA HARRIS","almost",4,0.175803661726358
